iter	Passed	Remaining
0	0	771
1	1	785
2	2	733
3	2	677
4	3	651
5	3	622
6	4	604
7	4	586
8	5	581
9	5	577
10	6	580
11	7	579
12	7	578
13	8	575
14	8	572
15	9	565
16	9	563
17	10	559
18	10	557
19	11	552
20	11	549
21	12	547
22	12	552
23	13	557
24	14	560
25	15	562
26	15	563
27	16	558
28	16	556
29	17	554
30	17	550
31	18	548
32	18	546
33	19	550
34	20	554
35	20	556
36	21	556
37	21	555
38	22	553
39	23	552
40	23	551
41	24	550
42	24	549
43	25	556
44	26	564
45	27	567
46	28	568
47	28	566
48	29	565
49	29	564
50	30	564
51	30	562
52	31	562
53	32	560
54	33	572
55	33	570
56	34	569
57	35	568
58	35	567
59	36	564
60	36	564
61	37	562
62	37	564
63	38	565
64	39	566
65	40	575
66	41	574
67	41	569
68	42	567
69	42	565
70	43	563
71	43	564
72	44	566
73	45	566
74	45	566
75	46	565
76	47	564
77	47	562
78	48	561
79	48	559
80	49	558
81	49	557
82	51	573
83	52	571
84	52	568
85	53	567
86	53	564
87	54	563
88	54	561
89	55	559
90	55	558
91	56	559
92	57	559
93	59	571
94	59	570
95	60	568
96	60	566
97	61	564
98	61	563
99	62	561
100	63	562
101	63	560
102	64	560
103	65	560
104	65	558
105	66	557
106	66	555
107	67	554
108	67	552
109	68	552
110	68	550
111	70	562
112	71	560
113	71	559
114	72	557
115	72	555
116	73	553
117	73	551
118	74	549
119	74	547
120	75	546
121	75	546
122	76	544
123	77	545
124	77	544
125	78	543
126	78	542
127	79	539
128	79	537
129	80	536
130	80	534
131	81	533
132	81	532
133	82	535
134	83	534
135	83	533
136	84	532
137	84	530
138	85	530
139	86	529
140	86	528
141	87	526
142	87	525
143	89	532
144	90	531
145	90	529
146	91	528
147	91	527
148	92	525
149	92	524
150	93	523
151	93	521
152	94	520
153	95	527
154	96	526
155	97	525
156	97	523
157	98	522
158	98	521
159	99	520
160	99	519
161	100	518
162	100	517
163	101	516
164	102	519
165	103	518
166	103	517
167	104	516
168	104	515
169	105	514
170	105	513
171	106	512
172	106	510
173	107	512
174	108	512
175	109	511
176	109	510
177	110	509
178	110	508
179	111	506
180	111	504
181	111	503
182	112	501
183	112	501
184	113	500
185	114	501
186	116	505
187	117	506
188	118	506
189	118	505
190	119	505
191	120	506
192	121	508
193	122	507
194	122	506
195	123	505
196	123	504
197	124	503
198	124	502
199	125	500
200	125	499
201	127	502
202	127	501
203	128	500
204	129	500
205	129	499
206	130	498
207	130	497
208	131	495
209	131	494
210	131	493
211	133	494
212	144	532
213	144	531
214	145	530
215	145	529
216	146	528
217	147	528
218	147	527
219	148	526
220	149	525
221	149	524
222	150	522
223	150	521
224	151	520
225	151	519
226	152	518
227	152	517
228	153	517
229	154	516
230	154	515
231	155	514
232	155	513
233	156	512
234	157	511
235	157	511
236	158	511
237	159	511
238	160	510
239	160	509
240	161	508
241	161	507
242	162	506
243	163	505
244	163	503
245	164	503
246	164	502
247	165	501
248	166	500
249	166	499
250	167	498
251	167	497
252	168	496
253	168	495
254	169	494
255	169	492
256	170	492
257	170	490
258	171	489
259	171	489
260	172	488
261	173	488
262	174	487
263	174	487
264	175	486
265	175	485
266	176	484
267	176	483
268	177	482
269	178	483
270	179	482
271	179	481
272	180	480
273	180	479
274	181	478
275	182	477
276	182	476
277	183	476
278	184	475
279	184	474
280	185	473
281	185	473
282	186	472
283	186	470
284	187	469
285	187	468
286	188	467
287	188	466
288	189	465
289	189	464
290	190	463
291	191	463
292	191	462
293	192	461
294	192	460
295	193	459
296	193	458
297	194	457
298	194	456
299	195	455
300	195	454
301	196	453
302	196	452
303	197	451
304	197	451
305	198	450
306	198	449
307	199	448
308	199	446
309	200	446
310	201	445
311	201	444
312	202	443
313	203	444
314	204	444
315	204	443
316	205	442
317	205	441
318	206	440
319	206	439
320	207	438
321	207	437
322	209	438
323	209	437
324	210	436
325	210	435
326	211	434
327	211	433
328	211	432
329	212	431
330	212	430
331	213	429
332	214	428
333	214	428
334	215	427
335	216	426
336	216	426
337	217	425
338	217	424
339	218	423
340	218	422
341	218	421
342	219	420
343	219	419
344	220	418
345	221	418
346	222	418
347	222	417
348	223	416
349	223	415
350	223	414
351	224	413
352	224	412
353	225	411
354	225	410
355	226	410
356	227	409
357	228	408
358	228	407
359	229	407
360	229	406
361	229	405
362	230	404
363	230	403
364	231	402
365	233	403
366	233	403
367	234	402
368	234	401
369	235	400
370	235	399
371	236	398
372	236	397
373	237	396
374	237	396
375	239	397
376	239	396
377	240	395
378	241	395
379	241	394
380	242	393
381	242	392
382	243	391
383	243	390
384	243	389
385	244	388
386	246	390
387	246	389
388	247	388
389	247	387
390	248	386
391	248	385
392	249	385
393	249	384
394	250	383
395	250	382
396	252	383
397	253	382
398	253	381
399	254	381
400	254	380
401	254	379
402	255	378
403	256	377
404	256	377
405	257	376
406	258	377
407	259	376
408	259	375
409	260	374
410	260	373
411	261	373
412	261	372
413	262	371
414	262	370
415	263	369
416	265	370
417	265	369
418	266	368
419	266	368
420	267	367
421	267	366
422	267	365
423	268	364
424	268	363
425	269	362
426	269	362
427	270	361
428	271	361
429	272	360
430	272	359
431	273	359
432	273	358
433	274	357
434	274	356
435	275	355
436	275	354
437	275	354
438	277	354
439	278	354
440	278	353
441	279	352
442	279	351
443	280	350
444	280	350
445	281	349
446	281	348
447	282	347
448	282	346
449	283	346
450	283	345
451	284	345
452	285	344
453	285	343
454	286	342
455	286	342
456	287	341
457	287	340
458	288	339
459	288	338
460	289	337
461	289	337
462	290	336
463	291	336
464	291	335
465	292	334
466	292	333
467	293	333
468	293	332
469	294	331
470	294	330
471	294	329
472	295	329
473	296	329
474	297	328
475	297	327
476	298	327
477	298	326
478	299	325
479	299	324
480	300	324
481	300	323
482	301	322
483	301	321
484	302	321
485	303	320
486	303	319
487	304	318
488	304	318
489	304	317
490	305	316
491	305	315
492	306	315
493	306	314
494	307	313
495	309	313
496	309	313
497	310	312
498	310	311
499	311	311
500	311	310
501	311	309
502	312	308
503	313	308
504	313	307
505	314	306
506	314	305
507	315	305
508	316	304
509	316	304
510	317	303
511	317	302
512	318	302
513	318	301
514	319	300
515	319	299
516	320	299
517	321	299
518	322	298
519	322	298
520	323	297
521	323	296
522	324	295
523	324	295
524	325	294
525	325	293
526	326	292
527	326	292
528	327	291
529	328	291
530	328	290
531	329	289
532	329	288
533	330	288
534	330	287
535	331	286
536	331	286
537	332	285
538	332	284
539	333	283
540	333	283
541	334	282
542	334	281
543	335	281
544	335	280
545	336	279
546	336	278
547	337	278
548	337	277
549	338	276
550	338	276
551	339	275
552	339	274
553	340	273
554	340	273
555	341	272
556	342	272
557	342	271
558	343	270
559	343	269
560	344	269
561	344	268
562	344	267
563	345	266
564	346	266
565	347	266
566	347	265
567	348	264
568	348	264
569	349	263
570	349	262
571	350	261
572	350	261
573	350	260
574	351	259
575	351	259
576	352	258
577	353	257
578	353	257
579	354	256
580	354	255
581	355	255
582	355	254
583	356	253
584	356	253
585	357	252
586	358	251
587	358	251
588	359	250
589	360	250
590	360	249
591	361	248
592	361	248
593	362	247
594	362	246
595	363	246
596	363	245
597	363	244
598	364	244
599	365	243
600	366	243
601	366	242
602	367	241
603	367	241
604	368	240
605	368	239
606	369	238
607	369	238
608	369	237
609	370	236
610	371	236
611	372	235
612	372	235
613	373	234
614	373	233
615	374	233
616	374	232
617	375	231
618	375	231
619	375	230
620	376	229
621	377	229
622	378	229
623	379	228
624	379	227
625	380	227
626	380	226
627	380	225
628	381	224
629	381	224
630	382	223
631	382	222
632	384	222
633	385	222
634	385	221
635	386	220
636	386	220
637	386	219
638	387	218
639	387	218
640	388	217
641	388	216
642	389	216
643	389	215
644	390	214
645	390	214
646	391	213
647	391	212
648	392	212
649	392	211
650	393	210
651	393	210
652	394	209
653	394	208
654	395	208
655	396	207
656	396	207
657	397	206
658	398	205
659	398	205
660	399	204
661	399	203
662	400	203
663	400	202
664	400	201
665	401	201
666	401	200
667	402	200
668	403	199
669	403	198
670	404	198
671	404	197
672	405	197
673	405	196
674	406	195
675	406	195
676	407	194
677	408	193
678	408	193
679	409	192
680	410	192
681	410	191
682	411	191
683	412	190
684	412	189
685	413	189
686	413	188
687	414	187
688	414	187
689	415	186
690	415	185
691	416	185
692	416	184
693	417	184
694	417	183
695	418	182
696	418	182
697	419	181
698	419	180
699	420	180
700	420	179
701	422	179
702	423	178
703	423	178
704	424	177
705	424	176
706	424	176
707	425	175
708	425	174
709	426	174
710	426	173
711	427	172
712	427	172
